,word,segmentation,morph_structure
0,gọọmentị,gọọmentị,"[['g', 'ọ', 'ọ', 'm', 'e', 'n', 't', 'ị']]"
1,ndị,ndị,"[['n', 'd', 'ị']]"
2,onwuemeodo,onwu + eme + odo,"[['o', 'nw', 'u'], ['e', 'm', 'e'], ['o', 'd', 'o']]"
3,onye,onye,"[['o', 'ny', 'e']]"
4,aafọ,aafọ,"[['a', 'a', 'f', 'ọ']]"
5,aakụkọ,aakụkọ,"[['a', 'a', 'k', 'ụ', 'k', 'ọ']]"
6,aba,aba,"[['a', 'b', 'a']]"
7,ababeghị,a + ba + be + ghị,"[['a'], ['b', 'a'], ['b', 'e'], ['gh', 'ị']]"
8,abacha,abacha,"[['a', 'b', 'a', 'ch', 'a']]"
9,abagana,abagana,"[['a', 'b', 'a', 'g', 'a', 'n', 'a']]"
10,abagbuola,a + ba + gbuo + la,"[['a'], ['b', 'a'], ['gb', 'u', 'o'], ['l', 'a']]"
11,abaghị,a + ba + ghị,"[['a'], ['b', 'a'], ['gh', 'ị']]"
12,abah,abah,"[['a', 'b', 'a', 'h']]"
13,abakaliki,abakaliki,"[['a', 'b', 'a', 'k', 'a', 'l', 'i', 'k', 'i']]"
14,abakpa,abakpa,"[['a', 'b', 'a', 'kp', 'a']]"
15,abakwuru,a + ba + kwu + ru,"[['a'], ['b', 'a'], ['kw', 'u'], ['r', 'u']]"
16,abalị,abalị,"[['a', 'b', 'a', 'l', 'ị']]"
17,abalị-asaa,abalị + - + asaa,"[['a', 'b', 'a', 'l', 'ị'], ['-'], ['a', 's', 'a', 'a']]"
18,abalị-atọ,abalị + - + atọ,"[['a', 'b', 'a', 'l', 'ị'], ['-'], ['a', 't', 'ọ']]"
19,abalị-ise,abalị + - + ise,"[['a', 'b', 'a', 'l', 'ị'], ['-'], ['i', 's', 'e']]"
20,abalị-otu,abalị + - + otu,"[['a', 'b', 'a', 'l', 'ị'], ['-'], ['o', 't', 'u']]"
21,abalịa,abalị + a,"[['a', 'b', 'a', 'l', 'ị'], ['a']]"
22,abalịdịegwu,abalị + dị + egwu,"[['a', 'b', 'a', 'l', 'ị'], ['d', 'ị'], ['e', 'gw', 'u']]"
23,abanye,a + ba + nye,"[['a'], ['b', 'a'], ['ny', 'e']]"
24,abanyekwala,a + ba + nye + kwa + la,"[['a'], ['b', 'a'], ['ny', 'e'], ['kw', 'a'], ['l', 'a']]"
25,abanyela,a + ba + nye + la,"[['a'], ['b', 'a'], ['ny', 'e'], ['l', 'a']]"
26,abanyere,a + ba + nye + re,"[['a'], ['b', 'a'], ['ny', 'e'], ['r', 'e']]"
27,abanyewo,a + ba + nye + wo,"[['a'], ['b', 'a'], ['ny', 'e'], ['w', 'o']]"
28,abata,a + ba + ta,"[['a'], ['b', 'a'], ['t', 'a']]"
29,abatadị,a + ba + ta + dị,"[['a'], ['b', 'a'], ['t', 'a'], ['d', 'ị']]"
30,abataghị,a + ba + ta + ghị,"[['a'], ['b', 'a'], ['t', 'a'], ['gh', 'ị']]"
31,abatago,a + ba + ta + go,"[['a'], ['b', 'a'], ['t', 'a'], ['g', 'o']]"
32,abatala,a + ba + ta + la,"[['a'], ['b', 'a'], ['t', 'a'], ['l', 'a']]"
33,abatara,a + ba + ta + ra,"[['a'], ['b', 'a'], ['t', 'a'], ['r', 'a']]"
34,abatatụdịghị,a + ba + ta + tụ + dị + ghị,"[['a'], ['b', 'a'], ['t', 'a'], ['t', 'ụ'], ['d', 'ị'], ['gh', 'ị']]"
35,abatụdịghị,a + ba + tụ + dị + ghị,"[['a'], ['b', 'a'], ['t', 'ụ'], ['d', 'ị'], ['gh', 'ị']]"
36,abawanyela,a + ba + wa + nye + la,"[['a'], ['b', 'a'], ['w', 'a'], ['ny', 'e'], ['l', 'a']]"
37,abawara,a + ba + wa + ra,"[['a'], ['b', 'a'], ['w', 'a'], ['r', 'a']]"
38,abednego,abednego,"[['a', 'b', 'e', 'd', 'n', 'e', 'g', 'o']]"
39,abia,abịa,"[['a', 'b', 'ị', 'a']]"
40,abiaghi,a + bịa + ghị,"[['a'], ['b', 'ị', 'a'], ['gh', 'ị']]"
41,abiakari,a + bịa + ka + rị,"[['a'], ['b', 'ị', 'a'], ['k', 'a'], ['r', 'ị']]"
42,abiaziem,a + bịa + zi + e + m,"[['a'], ['b', 'ị', 'a'], ['z', 'i'], ['e'], ['m']]"
43,abraham,abraham,"[['a', 'b', 'r', 'a', 'h', 'a', 'm']]"
44,abughi,a + bụ + ghị,"[['a'], ['b', 'ụ'], ['gh', 'ị']]"
45,abughị,a + bụ + ghị,"[['a'], ['b', 'ụ'], ['gh', 'ị']]"
46,abughịzị,a + bụ + ghị + zị,"[['a'], ['b', 'ụ'], ['gh', 'ị'], ['z', 'ị']]"
