model,target_vocab_size,actual_vocab_size,boundary_recall,crossing_rate,avg_consistency,fertility
Baseline BPE,2000,2000,0.2938,0.1394,0.8773,1.5051
MorphBPE,2000,2000,0.8058,0.0404,0.9635,1.6519
Baseline BPE,4000,4000,0.2007,0.1588,0.8528,1.3957
MorphBPE,4000,4000,0.7701,0.0496,0.9591,1.5738
Baseline BPE,8000,8000,0.1265,0.1695,0.838,1.3232
MorphBPE,8000,8000,0.7244,0.0615,0.9497,1.5194
Baseline BPE,12000,12000,0.0977,0.1738,0.8329,1.2952
MorphBPE,12000,12000,0.6882,0.0705,0.9419,1.4946
Baseline BPE,16000,16000,0.0808,0.1761,0.8294,1.2802
MorphBPE,16000,16000,0.6436,0.0816,0.9346,1.4719
